Item_Weight,Item_Fat_Content,Item_Type,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
9.3,0,4,249.8092,1999.0,1,0,1,3735.138
5.92,1,14,48.2692,2009.0,1,2,2,443.4228
17.5,0,10,141.618,1999.0,1,0,1,2097.27
19.2,1,6,182.095,1998.0,2,2,0,732.38
8.93,0,9,53.8614,1987.0,0,2,1,994.7052
10.395,1,0,51.4008,2009.0,1,2,2,556.6088
13.65,1,13,57.6588,1987.0,0,2,1,343.5528
12.865732002419843,0,13,107.7622,1985.0,1,2,3,4022.7636
16.2,1,5,96.9726,2002.0,2,1,1,1076.5986
19.2,1,5,187.8214,2007.0,2,1,1,4710.535
11.8,0,6,45.5402,1999.0,1,0,1,1516.0266
18.5,1,4,144.1102,1997.0,2,0,1,2187.153
15.1,1,6,145.4786,1999.0,1,0,1,1589.2646
17.6,1,13,119.6782,1997.0,2,0,1,2145.2076
16.35,0,6,196.4426,1987.0,0,2,1,1977.426
9.0,1,2,56.3614,1997.0,2,0,1,1547.3192
11.8,0,8,115.3492,2009.0,1,2,2,1621.8888
9.0,1,2,54.3614,1999.0,1,0,1,718.3982
11.576204620462047,0,7,113.2834,1985.0,1,2,3,2303.668
13.35,0,4,230.5352,2004.0,2,1,1,2748.4224
18.85,1,13,250.8724,1987.0,0,2,1,3775.086
12.275211111111112,1,0,144.5444,1985.0,1,2,3,4064.0432
14.6,0,9,196.5084,2004.0,2,1,1,1587.2672
12.275211111111112,0,0,107.6938,1985.0,2,0,0,214.3876
13.85,1,5,165.021,1997.0,2,0,1,4078.025
13.0,0,9,45.906,2007.0,2,1,1,838.908
7.645,1,13,42.3112,2004.0,2,1,1,1065.28
11.65,0,7,39.1164,1987.0,0,2,1,308.9312
5.925,1,4,45.5086,1998.0,2,2,0,178.4344
12.340829621380845,1,3,43.6454,1985.0,2,0,0,125.8362
19.25,0,4,55.7956,1998.0,2,2,0,163.7868
18.6,0,8,96.4436,2009.0,1,2,2,2741.7644
18.7,0,13,256.6672,2009.0,1,2,2,3068.0064
17.85,0,1,93.1436,2002.0,2,1,1,2174.5028
17.5,0,14,174.8738,1997.0,2,0,1,2085.2856
10.0,0,8,146.7102,1999.0,1,0,1,3791.0652
13.194406118776243,1,6,128.0678,1985.0,1,2,3,2797.6916
8.85,1,14,122.5388,2009.0,1,2,2,1609.9044
12.865732002419843,1,13,36.9874,1985.0,1,2,3,388.1614
12.865732002419843,0,13,87.6198,1985.0,1,2,3,2180.495
13.35,0,4,230.6352,1997.0,2,0,1,3435.528
9.8,0,10,126.002,1987.0,0,2,1,2150.534
13.6,0,13,192.9136,1999.0,1,0,1,2527.3768
21.35,0,3,259.9278,2009.0,1,2,2,6768.5228
12.15,1,3,126.5046,1987.0,0,2,1,373.5138
6.42,0,4,178.1002,1998.0,2,2,0,358.2004
19.6,0,8,153.3024,2002.0,2,1,1,2428.8384
10.0,0,3,265.2226,2002.0,2,1,1,5815.0972
15.85,1,0,60.622,1997.0,2,0,1,2576.646
13.23835812964931,1,4,196.8794,1985.0,2,0,0,780.3176
7.39,0,8,143.8812,1997.0,2,0,1,3134.5864
10.195,0,5,141.5154,1987.0,0,2,1,850.8924
9.895,1,3,117.0492,1987.0,0,2,1,810.9444
10.895,0,6,196.3794,2007.0,2,1,1,3121.2704
12.15,0,9,151.4708,2007.0,2,1,1,4815.0656
7.905,0,13,249.0408,2009.0,1,2,2,6258.52
9.195,0,9,106.1622,2002.0,2,1,1,2117.244
8.365,0,7,38.0506,1999.0,1,0,1,796.9626
15.1,0,13,194.511,1997.0,2,0,1,4910.275
12.340829621380845,0,3,180.0344,1985.0,2,0,0,892.172
10.0,0,6,246.9144,2009.0,1,2,2,3185.1872
7.97,1,10,87.3514,2002.0,2,1,1,1062.6168
13.194406118776243,0,6,38.2848,1985.0,1,2,3,484.7024
12.56932340425532,1,5,51.0692,1985.0,2,0,0,147.8076
12.865732002419843,0,13,255.8356,1985.0,1,2,3,2543.356
17.7,0,13,185.4266,1998.0,2,2,0,184.4266
19.35,0,10,172.5738,2004.0,2,1,1,4865.6664
13.65,1,4,186.024,2002.0,2,1,1,1118.544
17.6,0,14,164.8526,2002.0,2,1,1,2302.3364
8.645,0,8,95.841,1997.0,2,0,1,2027.361
15.6,1,13,170.1764,1997.0,2,0,1,3435.528
15.85,1,0,59.222,1987.0,0,2,1,599.22
18.25,0,15,164.7526,2002.0,2,1,1,4604.6728
7.855,0,3,189.6188,2007.0,2,1,1,2285.0256
7.825,0,9,254.3698,1999.0,1,0,1,5580.7356
8.39,1,5,114.0176,1997.0,2,0,1,2290.352
12.85,0,13,172.3422,1999.0,1,0,1,1207.0954
12.275211111111112,0,0,89.9804,1985.0,2,0,0,643.1628
19.0,0,5,104.9622,2007.0,2,1,1,1587.933
5.905,0,3,222.5456,2002.0,2,1,1,5305.0944
7.76,0,13,101.87,1997.0,2,0,1,1697.79
11.8,1,5,180.3344,1997.0,2,0,1,1427.4752
16.75,0,13,187.9556,2009.0,1,2,2,4693.89
13.3379766536965,0,9,194.6136,1985.0,2,0,0,583.2408
12.275211111111112,1,0,171.3764,1985.0,1,2,3,3091.9752
15.5,1,6,177.0028,2007.0,2,1,1,2479.4392
6.055,0,6,160.992,2004.0,2,1,1,2716.464
13.179111842105263,1,2,155.963,1985.0,1,2,3,3285.723
6.305,1,13,95.6436,1997.0,2,0,1,661.8052
20.85,0,10,117.2808,1999.0,1,0,1,1523.3504
20.75,0,6,122.173,1998.0,2,2,0,369.519
8.895,0,4,39.9138,1999.0,1,0,1,690.4346
19.6,0,14,55.1614,2002.0,2,1,1,1381.535
19.7,0,6,57.893,2004.0,2,1,1,622.523
9.8,0,8,114.5492,2004.0,2,1,1,1274.3412
12.56932340425532,0,5,120.0414,1985.0,2,0,0,487.3656
12.15,0,5,246.046,1999.0,1,0,1,1231.73
8.75,1,6,187.4556,2004.0,2,1,1,3755.112
13.3379766536965,0,9,149.9708,1985.0,1,2,3,4363.6532
8.75,1,6,187.8556,1997.0,2,0,1,1314.2892
13.3,0,5,151.0708,2002.0,2,1,1,1805.6496
12.865732002419843,1,13,178.5344,1985.0,1,2,3,2854.9504
8.31,1,13,179.1028,1999.0,1,0,1,3896.2616
16.75,1,14,38.7822,1987.0,0,2,1,667.7974
19.75,0,13,212.0902,2009.0,1,2,2,3185.853
17.1,1,3,141.1838,1987.0,0,2,1,2247.7408
10.5,1,0,163.121,1987.0,0,2,1,1794.331
6.635,1,0,121.3098,2002.0,2,1,1,2530.7058
11.788407960199004,0,14,225.372,1985.0,2,0,0,679.116
14.15,0,14,41.4138,1987.0,0,2,1,812.276
13.3,0,4,232.53,1997.0,2,0,1,699.09
8.89,0,5,102.4016,2007.0,2,1,1,2732.4432
12.766103789126852,1,10,176.937,1985.0,2,0,0,176.437
12.865732002419843,0,13,121.7098,1985.0,1,2,3,4097.3332
9.1,1,1,173.2054,2002.0,2,1,1,3151.8972
7.5,0,5,239.0906,1999.0,1,0,1,5942.265
16.85,1,5,192.4478,2007.0,2,1,1,4843.695
7.485,0,13,109.0228,2004.0,2,1,1,2542.0244
11.6,0,14,140.3154,2007.0,2,1,1,2552.6772
11.65,0,13,227.0694,2009.0,1,2,2,1141.847
13.0,0,9,47.5034,2007.0,2,1,1,680.4476
12.65,0,14,159.0578,2002.0,2,1,1,2085.9514
20.25,1,3,92.512,1998.0,2,2,0,186.424
8.6,1,3,190.153,2004.0,2,1,1,3036.048
12.6,0,1,62.7194,2007.0,2,1,1,866.8716
17.7,0,5,95.041,2004.0,2,1,1,868.869
14.15,0,14,82.4276,1997.0,2,0,1,1137.1864
19.25,0,4,52.7956,2007.0,2,1,1,928.1252
8.88,0,7,151.7682,1987.0,0,2,1,762.341
20.5,0,9,40.2822,2002.0,2,1,1,707.0796
12.340829621380845,0,3,180.5976,1985.0,1,2,3,7968.2944
13.5,0,9,160.292,1997.0,2,0,1,1438.128
13.17173943661972,0,8,224.4404,1985.0,1,2,3,6976.2524
8.89,0,5,101.7016,1998.0,2,2,0,101.2016
7.855,0,3,188.5188,2009.0,1,2,2,952.094
7.235,0,9,116.0492,1997.0,2,0,1,1969.4364
13.659757709251101,0,15,165.4526,1985.0,1,2,3,5262.4832
6.92,0,4,60.5852,2002.0,2,1,1,1314.2892
9.3,0,6,90.8172,2007.0,2,1,1,535.3032
18.5,0,11,132.1284,1998.0,2,2,0,263.6568
8.02,0,9,154.5972,2004.0,2,1,1,1402.1748
9.195,0,9,105.1622,2007.0,2,1,1,1693.7952
12.8,0,11,105.5938,2002.0,2,1,1,2143.876
16.6,0,9,177.6344,1999.0,1,0,1,2676.516
14.0,1,5,53.064,2004.0,2,1,1,905.488
18.6,0,5,246.3802,1999.0,1,0,1,7370.406
16.0,0,15,226.8404,2004.0,2,1,1,6301.1312
17.6,0,8,160.692,2004.0,2,1,1,1597.92
21.25,0,13,178.237,2004.0,2,1,1,529.311
7.235,0,9,117.5492,2004.0,2,1,1,1969.4364
14.6,0,14,50.3692,2007.0,2,1,1,1034.6532
13.85,1,5,161.521,2009.0,1,2,2,1794.331
13.65,1,5,197.6426,2009.0,1,2,2,2768.3964
11.788407960199004,0,14,31.29,1985.0,1,2,3,898.83
7.365,0,6,226.172,1997.0,2,0,1,3169.208
18.35,0,9,223.5746,2009.0,1,2,2,3589.9936
5.465,1,0,132.5626,2009.0,1,2,2,262.3252
18.6,0,2,99.8358,2007.0,2,1,1,1910.1802
13.85,0,14,140.9154,2007.0,2,1,1,1701.7848
14.0,1,5,154.5656,1987.0,0,2,1,2471.4496
14.0,1,13,54.764,1987.0,0,2,1,1331.6
13.194406118776243,0,6,97.0094,1985.0,1,2,3,1808.9786
5.905,0,3,222.5456,2009.0,1,2,2,3315.684
7.27,0,14,114.2518,1997.0,2,0,1,2618.5914
6.155,1,10,214.556,1997.0,2,0,1,2769.728
19.5,1,14,233.4958,2007.0,2,1,1,5375.0034
15.2,0,3,216.8824,2007.0,2,1,1,2838.9712
12.15,1,3,125.0046,2009.0,1,2,2,1743.0644
13.3379766536965,0,9,198.8084,1985.0,1,2,3,5555.4352
12.6,0,1,61.9194,2009.0,1,2,2,619.194
14.5,0,11,164.821,2004.0,2,1,1,2120.573
16.6,0,6,173.0738,2007.0,2,1,1,3823.0236
11.8,1,10,151.4366,1987.0,0,2,1,1360.2294
13.1,1,6,178.8318,1987.0,0,2,1,3969.4996
17.7,0,6,115.1834,1998.0,2,2,0,345.5502
17.85,0,1,196.5794,1998.0,2,2,0,585.2382
12.3,1,15,92.6804,2002.0,2,1,1,1010.6844
11.8,0,8,81.4618,1998.0,2,2,0,161.1236
11.788407960199004,1,14,42.1112,1985.0,2,0,0,42.6112
11.1,0,0,157.4604,2002.0,2,1,1,3010.7476
12.56932340425532,1,5,153.0656,1985.0,1,2,3,6024.1584
11.3,0,10,198.1426,2002.0,2,1,1,988.713
13.17173943661972,0,8,117.944,1985.0,2,0,0,239.688
5.75,1,4,112.8176,1987.0,0,2,1,1374.2112
12.275211111111112,1,0,226.8062,1985.0,1,2,3,4739.8302
11.35,1,13,100.0016,2009.0,1,2,2,1012.016
13.194406118776243,1,6,165.7526,1985.0,2,0,0,657.8104
14.0,0,8,130.431,1999.0,1,0,1,778.986
19.75,1,5,179.766,2002.0,2,1,1,2336.958
6.525,0,9,85.0882,1999.0,1,0,1,2233.0932
10.3,0,10,103.9648,1999.0,1,0,1,1661.8368
5.78,1,13,264.7568,1999.0,1,0,1,4745.8224
11.85,1,6,164.1526,2002.0,2,1,1,3124.5994
16.35,0,6,50.1324,2009.0,1,2,2,467.3916
13.3379766536965,0,9,182.5976,1985.0,1,2,3,5070.7328
10.5,0,6,37.6164,1997.0,2,0,1,540.6296
19.0,1,5,48.0718,1997.0,2,0,1,992.7078
14.6,0,11,238.8538,1999.0,1,0,1,6008.845
13.23835812964931,1,4,62.9194,1985.0,1,2,3,2105.2596
12.340829621380845,1,3,232.63,1985.0,1,2,3,5359.69
18.75,0,8,104.628,2002.0,2,1,1,745.696
5.26,1,0,161.8868,2004.0,2,1,1,3275.736
18.25,0,13,140.2154,2002.0,2,1,1,1701.7848
12.275211111111112,0,0,177.937,1985.0,1,2,3,6704.606
15.1,0,10,242.7512,1997.0,2,0,1,4119.9704
15.5,1,0,81.5934,1998.0,2,2,0,327.5736
13.65,0,5,45.7402,1999.0,1,0,1,780.9834
16.1,0,14,189.3846,2002.0,2,1,1,3630.6074
12.865732002419843,1,13,107.3622,1985.0,2,0,0,317.5866
12.85,0,5,39.7164,1998.0,2,2,0,231.6984
9.5,0,14,32.99,2004.0,2,1,1,133.16
13.8,0,4,245.1802,2004.0,2,1,1,5650.6446
5.78,1,13,263.7568,2007.0,2,1,1,2636.568
19.7,0,9,96.0726,2002.0,2,1,1,1272.3438
14.65,0,9,161.5552,1998.0,2,2,0,324.9104
6.67,1,13,130.0626,1998.0,2,2,0,131.1626
6.11,1,6,131.2968,1998.0,2,2,0,260.9936
13.65,1,5,260.0936,1998.0,2,2,0,260.9936
